18.30, 20.85, 116.14, 2.04, 6.13, 0.22
14.92, 19.23, 102.71, 1.82, 5.60, 0.23
16.80, 17.39, 105.60, 1.83, 6.29, 0.23
14.90, 17.47, 102.99, 2.41, 5.73, 0.33
14.82, 17.40, 104.59, 1.97, 5.75, 0.30
20.79, 17.11, 109.72, 2.07, 6.02, 0.23
19.17, 17.26, 103.02, 1.80, 5.71, 0.45
20.53, 16.71, 102.84, 1.81, 5.81, 0.45
20.01, 17.63, 102.16, 1.80, 5.48, 0.23
20.07, 19.01, 104.35, 1.97, 6.16, 0.23
21.33, 17.85, 101.50, 1.76, 6.27, 0.23
17.20, 17.69, 106.29, 1.92, 5.62, 0.22
14.89, 17.13, 101.59, 2.00, 5.64, 0.22
16.40, 17.26, 101.57, 1.79, 6.38, 0.33
15.07, 16.86, 102.16, 1.88, 6.96, 0.22
20.19, 17.69, 102.60, 1.83, 5.85, 0.23
21.61, 18.35, 103.16, 1.91, 5.79, 0.22
14.94, 17.13, 103.19, 1.74, 5.86, 0.34
16.40, 17.02, 103.93, 2.05, 6.17, 0.24
20.80, 16.33, 102.75, 1.79, 6.28, 0.22
21.00, 16.61, 102.05, 1.82, 6.29, 0.23
22.43, 16.50, 105.41, 2.16, 5.74, 0.24
14.62, 17.95, 104.00, 1.82, 5.62, 0.24
14.62, 17.41, 103.44, 1.94, 5.56, 0.23
15.35, 17.52, 104.43, 1.74, 6.53, 0.26
16.13, 19.19, 107.17, 1.88, 5.58, 0.24
15.10, 18.23, 102.60, 1.77, 5.99, 0.38
21.07, 17.18, 104.77, 1.76, 6.43, 0.23
14.62, 17.30, 103.50, 1.94, 6.03, 0.23
14.58, 18.05, 103.85, 2.32, 6.06, 0.22
20.80, 17.28, 102.73, 2.27, 5.78, 0.22
14.86, 18.07, 102.84, 1.79, 5.59, 0.23
21.63, 16.86, 102.34, 1.80, 5.53, 0.22
19.92, 17.01, 102.86, 1.83, 5.51, 0.24
16.53, 17.22, 102.90, 2.14, 8.23, 0.23
14.80, 17.57, 102.92, 2.08, 5.65, 0.22
19.05, 17.30, 102.09, 1.75, 6.44, 0.29
21.27, 17.39, 101.77, 1.72, 6.08, 0.30
20.83, 17.50, 102.53, 1.83, 6.26, 0.22
14.63, 17.26, 105.10, 2.00, 6.13, 0.22
20.59, 17.51, 101.89, 1.81, 5.73, 0.23
21.96, 17.00, 104.48, 1.86, 6.30, 0.23
20.00, 16.35, 103.45, 2.40, 5.56, 0.22
15.11, 17.51, 104.61, 1.88, 5.63, 0.23
22.16, 16.54, 114.04, 1.94, 6.87, 0.23
19.98, 17.64, 103.41, 1.73, 5.88, 0.22
22.49, 16.95, 101.69, 1.81, 6.53, 0.24
22.52, 16.85, 101.34, 1.77, 6.42, 0.22
16.66, 17.32, 102.93, 2.10, 5.42, 0.22
20.04, 16.90, 101.72, 1.82, 6.41, 0.27
22.81, 16.54, 102.36, 1.73, 5.75, 0.22
